Date,Open,High,Low,Close
2014-02-19,1298.05,1309.03,1293.31,1295.31
2014-02-20,1294.81,1305.75,1291.02,1300.59
2014-02-21,1302.66,1303.20,1290.35,1293.15
2014-02-24,1288.32,1290.45,1278.51,1278.51
2014-02-25,1272.37,1272.37,1247.62,1251.73
2014-02-26,1252.26,1258.96,1243.65,1251.73
2014-02-27,1258.07,1269.57,1254.40,1269.49
2014-02-28,1266.65,1266.65,1252.94,1259.09
2014-03-03,1243.40,1243.40,1225.12,1233.22
2014-03-04,1246.80,1255.14,1243.80,1253.51
2014-03-05,1253.51,1253.51,1244.84,1248.07
2014-03-06,1252.58,1268.63,1252.58,1260.49
2014-03-07,1254.76,1254.76,1229.34,1234.92
2014-03-10,1225.41,1225.41,1202.04,1213.62
2014-03-11,1217.48,1225.30,1202.06,1204.21
2014-03-12,1202.47,1217.88,1201.37,1209.58
2014-03-13,1217.61,1222.18,1187.17,1189.46
2014-03-14,1191.92,1205.77,1191.40,1200.37
2014-03-17,1208.64,1224.35,1207.03,1212.36
2014-03-18,1209.58,1232.05,1208.39,1230.02
2014-03-19,1228.14,1237.56,1216.16,1221.81
2014-03-20,1217.38,1233.66,1210.59,1228.20
2014-03-21,1237.35,1257.98,1237.35,1249.44
2014-03-24,1255.03,1263.09,1243.88,1253.43
2014-03-25,1253.43,1273.35,1253.43,1267.93
2014-03-26,1273.66,1280.58,1256.76,1256.94
2014-03-27,1258.80,1270.68,1258.73,1267.28
2014-03-28,1269.93,1281.05,1264.00,1267.15
2014-03-31,1279.43,1289.31,1279.18,1283.92
2014-04-01,1292.08,1296.65,1282.98,1290.06
2014-04-02,1286.53,1303.28,1283.55,1301.45
2014-04-03,1295.33,1301.10,1290.45,1298.83
2014-04-04,1308.55,1320.66,1296.82,1299.61
2014-04-07,1300.85,1308.55,1289.48,1298.48
2014-04-08,1307.34,1327.43,1307.34,1316.26
2014-04-09,1317.39,1331.23,1310.73,1322.09
2014-04-10,1320.89,1320.89,1296.24,1299.56
2014-04-11,1293.13,1295.58,1285.20,1291.18
2014-04-14,1297.38,1314.51,1297.38,1308.09
2014-04-15,1292.59,1292.59,1259.55,1281.37
2014-04-16,1286.80,1290.54,1278.34,1284.16
2014-04-17,1284.16,1298.46,1281.50,1291.48
2014-04-21,1293.77,1293.82,1277.16,1284.09
2014-04-22,1284.53,1285.95,1277.72,1280.01
2014-04-23,1279.67,1282.38,1271.98,1280.41
2014-04-24,1285.53,1290.28,1276.02,1287.40
2014-04-25,1281.82,1281.82,1262.66,1268.52
2014-04-28,1268.52,1268.52,1247.55,1258.49
2014-04-29,1263.91,1272.88,1263.91,1267.01
2014-04-30,1260.76,1261.76,1254.53,1261.39
2014-05-01,1260.48,1262.53,1254.26,1261.27
2014-05-02,1264.30,1283.03,1263.95,1279.88
2014-05-05,1275.77,1275.77,1261.26,1265.06
2014-05-06,1265.34,1277.93,1262.77,1267.61
2014-05-07,1267.61,1277.24,1262.27,1276.47
2014-05-08,1276.47,1282.87,1268.19,1270.46
2014-05-09,1263.76,1266.43,1257.99,1263.83
2014-05-12,1263.83,1301.46,1263.83,1300.68
2014-05-13,1300.68,1303.36,1296.17,1297.07
2014-05-14,1297.78,1309.19,1297.76,1299.44
2014-05-15,1297.59,1299.10,1278.63,1288.96
2014-05-16,1288.96,1288.96,1274.13,1287.77
2014-05-19,1278.64,1285.82,1278.64,1285.20
2014-05-20,1279.25,1282.75,1258.63,1262.53
2014-05-21,1266.07,1271.14,1263.09,1269.18
2014-05-22,1268.21,1284.85,1268.21,1275.69
2014-05-23,1279.59,1286.03,1277.28,1284.52
2014-05-27,1287.00,1292.34,1287.00,1289.90
2014-05-28,1282.48,1283.86,1271.41,1277.95
2014-05-29,1280.97,1284.91,1271.76,1284.54
2014-05-30,1266.27,1266.99,1256.41,1258.40
2014-06-02,1260.88,1264.51,1256.26,1262.25
2014-06-03,1256.96,1261.91,1256.96,1260.65
2014-06-04,1260.62,1266.04,1258.32,1260.58
2014-06-05,1271.59,1281.77,1269.12,1278.93
2014-06-06,1288.34,1294.66,1284.32,1292.90
2014-06-09,1293.82,1301.02,1292.82,1298.25
2014-06-10,1294.16,1294.16,1283.58,1287.32
2014-06-11,1285.55,1291.44,1281.60,1289.81
2014-06-12,1278.65,1278.65,1264.16,1266.14
2014-06-13,1268.20,1274.64,1265.13,1273.03
2014-06-16,1272.59,1273.10,1262.60,1264.81
2014-06-17,1260.99,1276.51,1258.42,1275.59
2014-06-18,1276.35,1297.65,1274.42,1296.89
2014-06-19,1299.02,1304.99,1291.53,1295.76
2014-06-20,1291.52,1292.40,1286.56,1288.18
2014-06-23,1296.41,1304.92,1295.58,1300.91
2014-06-24,1296.33,1309.61,1288.39,1289.92
2014-06-25,1289.71,1301.95,1288.87,1300.91
2014-06-26,1301.93,1310.17,1300.88,1308.90
2014-06-27,1299.63,1302.46,1292.52,1300.21
2014-06-30,1296.98,1306.37,1291.30,1305.81
2014-07-01,1310.71,1323.06,1310.71,1315.18
2014-07-02,1316.11,1339.29,1315.78,1338.28
2014-07-03,1341.59,1356.57,1341.59,1354.74
2014-07-07,1349.97,1351.87,1341.71,1346.91
2014-07-08,1345.28,1345.28,1335.41,1336.97
2014-07-09,1336.92,1344.14,1335.55,1341.62
2014-07-10,1324.19,1332.45,1318.72,1323.31
2014-07-11,1319.48,1329.75,1311.12,1325.77
2014-07-14,1329.26,1331.45,1319.81,1323.16
2014-07-15,1325.26,1335.83,1319.68,1331.76
2014-07-16,1337.18,1353.63,1337.18,1353.12
2014-07-17,1347.01,1348.63,1325.71,1327.53
2014-07-18,1328.09,1349.80,1328.09,1345.72
2014-07-21,1345.27,1350.16,1334.80,1349.83
2014-07-22,1355.90,1366.06,1355.90,1362.07
2014-07-23,1359.58,1361.64,1353.65,1358.71
