rwshr.lg,gdpdf.lg,urint.lg,capult.lg,ff,lbrprd.lg,fsi,ip.lg,ppi.lg
4.144,4.562,7.919,4.354,0.07,5.559,-0.762,4.614,5.326
4.142,4.564,7.885,4.363,0.08,5.559,-0.779,4.624,5.333
4.137,4.566,7.796,4.363,0.09,5.559,-0.831,4.625,5.339
4.134,4.568,7.798,4.366,0.09,5.559,-0.973,4.629,5.338
4.131,4.57,7.751,4.368,0.1,5.559,-1.043,4.632,5.339
4.131,4.571,7.731,4.369,0.09,5.559,-0.917,4.634,5.338
4.133,4.572,7.693,4.366,0.09,5.56,-0.852,4.632,5.333
4.133,4.573,7.657,4.368,0.09,5.56,-0.834,4.635,5.33
4.134,4.573,7.635,4.368,0.09,5.559,-0.384,4.635,5.315
4.136,4.573,7.664,4.373,0.09,5.559,-0.701,4.642,5.303
4.136,4.573,7.629,4.373,0.12,5.559,-0.486,4.642,5.283
4.136,4.572,7.625,4.364,0.11,5.56,-0.182,4.634,5.257
4.135,4.572,7.564,4.357,0.11,5.56,-0.404,4.627,5.253
4.137,4.573,7.523,4.354,0.11,5.56,-0.48,4.624,5.255
4.137,4.576,7.536,4.348,0.12,5.56,-0.524,4.618,5.252
4.138,4.578,7.566,4.344,0.12,5.56,-0.737,4.614,5.265
4.137,4.58,7.433,4.341,0.13,5.56,-0.631,4.611,5.272
4.138,4.58,7.404,4.348,0.13,5.56,-0.456,4.617,5.267
4.139,4.581,7.395,4.346,0.14,5.56,-0.259,4.615,5.257
4.139,4.581,7.275,4.344,0.14,5.56,-0.087,4.613,5.242
4.14,4.581,7.343,4.339,0.12,5.56,-0.233,4.608,5.234
4.14,4.581,7.377,4.332,0.12,5.56,-0.366,4.6,5.224
4.139,4.58,7.357,4.327,0.24,5.559,-0.086,4.596,5.212
4.139,4.579,7.358,4.332,0.34,5.56,0.317,4.601,5.207
4.138,4.579,7.389,4.327,0.38,5.56,0.503,4.596,5.2
4.138,4.581,7.371,4.32,0.36,5.56,-0.017,4.588,5.205
4.139,4.585,7.377,4.323,0.37,5.56,-0.095,4.591,5.211
4.139,4.587,7.28,4.32,0.37,5.56,-0.257,4.589,5.222
4.139,4.588,7.341,4.325,0.38,5.56,-0.115,4.594,5.234
4.14,4.588,7.313,4.325,0.39,5.56,-0.229,4.595,5.235
4.138,4.589,7.312,4.323,0.4,5.56,-0.336,4.594,5.229
4.139,4.59,7.306,4.322,0.4,5.56,-0.327,4.593,5.231
4.139,4.592,7.289,4.321,0.4,5.56,-0.434,4.593,5.23
4.139,4.594,7.221,4.317,0.41,5.56,-0.236,4.589,5.227
4.138,4.596,7.236,4.323,0.54,5.56,-0.619,4.595,5.238
4.136,4.598,7.197,4.321,0.65,5.56,-0.562,4.593,5.251
4.136,4.599,7.184,4.317,0.66,5.56,-0.667,4.589,5.255
4.134,4.6,7.124,4.323,0.79,5.56,-0.639,4.595,5.255
4.135,4.601,7.083,4.334,0.9,5.56,-0.543,4.605,5.263
4.132,4.602,7.108,4.336,0.91,5.56,-0.728,4.607,5.262
4.135,4.603,7.08,4.338,1.04,5.56,-0.585,4.609,5.266
4.137,4.605,7.08,4.337,1.15,5.56,-0.703,4.606,5.265
4.136,4.607,7.079,4.333,1.16,5.56,-0.758,4.602,5.267
4.136,4.609,7.14,4.335,1.15,5.56,-0.73,4.603,5.272
4.136,4.611,7.12,4.349,1.15,5.56,-0.805,4.615,5.272
4.139,4.613,7.101,4.352,1.16,5.56,-0.77,4.618,5.278
4.14,4.615,7.016,4.355,1.3,5.56,-0.746,4.62,5.28
4.14,4.617,6.992,4.356,1.41,5.56,-0.844,4.62,5.288
4.138,4.619,6.961,4.359,1.42,5.56,-0.539,4.622,5.295
4.137,4.622,6.983,4.364,1.51,5.56,-0.642,4.627,5.295
4.137,4.624,6.919,4.375,1.69,5.56,-0.37,4.638,5.3
4.136,4.626,6.803,4.366,1.7,5.56,-0.591,4.629,5.314
4.136,4.628,6.84,4.374,1.82,5.56,-0.585,4.637,5.319
4.136,4.629,6.894,4.375,1.91,5.56,-0.443,4.638,5.32
4.137,4.631,6.863,4.381,1.91,5.56,-0.733,4.645,5.315
4.136,4.632,6.914,4.381,1.95,5.56,-0.768,4.645,5.316
4.133,4.634,6.894,4.379,2.19,5.56,-0.379,4.644,5.321
4.133,4.635,6.85,4.379,2.2,5.56,-0.371,4.645,5.31
4.127,4.636,6.867,4.378,2.27,5.56,-0.055,4.645,5.303
4.132,4.637,6.826,4.371,2.4,5.56,-0.075,4.639,5.294
4.133,4.638,6.836,4.364,2.4,5.56,-0.522,4.633,5.294
4.135,4.639,6.854,4.364,2.41,5.56,-0.432,4.634,5.302
4.133,4.641,6.841,4.357,2.42,5.561,-0.487,4.628,5.309
4.13,4.643,6.878,4.357,2.39,5.561,-0.421,4.629,5.307
4.131,4.645,6.773,4.356,2.38,5.561,-0.358,4.629,5.3
4.13,4.645,6.703,4.35,2.4,5.561,-0.571,4.624,5.302
4.13,4.646,6.787,4.356,2.13,5.561,-0.319,4.631,5.294
4.13,4.647,6.785,4.352,2.04,5.561,-0.404,4.628,5.29
4.134,4.648,6.809,4.343,1.83,5.561,-0.416,4.619,5.291
4.134,4.649,6.711,4.347,1.55,5.561,-0.653,4.624,5.293
4.136,4.651,6.73,4.344,1.55,5.561,-0.652,4.622,5.293
4.139,4.654,6.787,4.338,1.55,5.561,-0.602,4.615,5.295
4.142,4.655,6.697,4.341,1.58,5.561,-0.4,4.619,5.282
4.137,4.654,6.734,4.301,0.65,5.56,2.361,4.579,5.263
3.944,4.65,7.088,4.16,0.05,5.565,1.75,4.437,5.223
4.019,4.649,7.351,4.177,0.05,5.563,0.924,4.454,5.24
4.043,4.651,7.484,4.242,0.08,5.562,0.525,4.517,5.253
4.039,4.656,7.575,4.28,0.09,5.563,0.318,4.554,5.263
4.079,4.66,7.538,4.291,0.1,5.564,-0.048,4.564,5.269
4.078,4.662,7.541,4.292,0.09,5.564,0.131,4.564,5.276
4.097,4.663,7.442,4.302,0.09,5.564,0.236,4.572,5.281
4.115,4.665,7.47,4.308,0.09,5.563,0.255,4.576,5.29
4.113,4.669,7.465,4.323,0.09,5.564,-0.382,4.589,5.301
4.016,4.673,7.53,4.33,0.09,5.564,-0.24,4.594,5.322
4.083,4.678,7.558,4.298,0.08,5.564,-0.472,4.56,5.35
3.9,4.683,7.615,4.329,0.07,5.564,-0.302,4.589,5.371
4.051,4.689,7.574,4.332,0.07,5.564,-0.762,4.591,5.384
4.08,4.694,7.565,4.343,0.06,5.564,-0.804,4.599,5.416
4.088,4.699,7.66,4.348,0.08,5.564,-0.739,4.603,5.433
