Series,Year,Period,Value
CEU3200000035,1977,M05,42.7
CEU3200000035,1977,M06,44.3
CEU3200000035,1977,M07,43.6
CEU3200000035,1977,M08,45.2
CEU3200000035,1977,M09,46.1
CEU3200000035,1977,M10,45.6
CEU3200000035,1977,M11,45.8
CEU3200000035,1977,M12,46.3
CEU3200000035,1978,M01,44.5
CEU3200000035,1978,M02,45.2
CEU3200000035,1978,M03,46.4
CEU3200000035,1978,M04,46.7
CEU3200000035,1978,M05,47.1
CEU3200000035,1978,M06,48.5
CEU3200000035,1978,M07,48.2
CEU3200000035,1978,M08,49.6
CEU3200000035,1978,M09,50.6
CEU3200000035,1978,M10,50.1
CEU3200000035,1978,M11,50.7
CEU3200000035,1978,M12,51.2
CEU3200000035,1979,M01,49.9
CEU3200000035,1979,M02,49.9
CEU3200000035,1979,M03,51
CEU3200000035,1979,M04,49.9
CEU3200000035,1979,M05,51.4
CEU3200000035,1979,M06,52.7
CEU3200000035,1979,M07,52.6
CEU3200000035,1979,M08,54
CEU3200000035,1979,M09,55
CEU3200000035,1979,M10,54.7
CEU3200000035,1979,M11,55
CEU3200000035,1979,M12,55.5
CEU3200000035,1980,M01,53.7
CEU3200000035,1980,M02,53.2
CEU3200000035,1980,M03,53.7
CEU3200000035,1980,M04,53.6
CEU3200000035,1980,M05,53.9
CEU3200000035,1980,M06,54.7
CEU3200000035,1980,M07,53.9
CEU3200000035,1980,M08,56.8
CEU3200000035,1980,M09,57.8
CEU3200000035,1980,M10,57.6
CEU3200000035,1980,M11,58.3
CEU3200000035,1980,M12,59.2
CEU3200000035,1981,M01,58.2
CEU3200000035,1981,M02,57.8
CEU3200000035,1981,M03,58.6
CEU3200000035,1981,M04,59
CEU3200000035,1981,M05,60.3
CEU3200000035,1981,M06,61.6
CEU3200000035,1981,M07,61
CEU3200000035,1981,M08,62.8
CEU3200000035,1981,M09,64
CEU3200000035,1981,M10,62.6
CEU3200000035,1981,M11,62.2
CEU3200000035,1981,M12,62
CEU3200000035,1982,M01,57.8
CEU3200000035,1982,M02,60.6
