ceaindx.lg,urint.lg,wgshr.lg,ppicty.lg,ffds.ts
4.294014757,6.933050615,4.198851269,4.833898116,5.6
4.295378828,6.920704779,4.193836191,4.838660029,5.56
4.299324143,6.921148336,4.194460124,4.83786795,5.22
4.302171409,6.974573503,4.192827139,4.839451482,5.31
4.304335327,7.009784409,4.190585846,4.847331743,5.22
4.307707102,6.975098851,4.190160293,4.852811209,5.24
4.312408568,6.954724632,4.192319362,4.852030264,5.27
4.314684186,6.939275721,4.192834415,4.852030264,5.4
4.319086835,6.89906595,4.194653479,4.854371272,5.22
4.321347324,6.889156421,4.19549761,4.853591544,5.3
4.324397522,6.858942643,4.193942005,4.852030264,5.24
4.326646051,6.871836972,4.19502682,4.853591544,5.31
4.329416684,6.852788777,4.196488958,4.860587298,5.29
4.33283639,6.859414452,4.192994774,4.865224091,5.25
4.336375289,6.827787475,4.195380563,4.855928904,5.19
4.339771322,6.808617559,4.196160313,4.846546506,5.39
4.343675543,6.795630363,4.197377725,4.844187086,5.51
4.347693956,6.742721624,4.19789445,4.847331743,5.5
4.35040696,6.769396846,4.198121954,4.845760651,5.56
4.354141431,6.805635449,4.197589038,4.843399375,5.52
4.356195875,6.760323549,4.199211344,4.845760651,5.54
